,0
0,3416.796842588431
1,2527.786640860001
2,0.0
3,2959.1341945816584
4,1947.9585734181142
5,0.0
6,562.8848384211915
7,1227.8346103943052
8,576.569507957456
9,2171.7029576547015
10,0.0
11,0.0
12,3127.402867973654
13,909.8002271225001
14,0.0
15,2691.2533149332967
16,1377.6623659993497
17,0.0
18,1112.583257303661
19,1186.1714321885493
20,3035.3981704603684
21,1065.4963668536163
22,3507.5207980714595
23,1199.427276731197
24,4163.00123099863
25,1358.6169952461917
26,250.38134114836612
27,3718.084470992161
28,512.0738924713755
29,0.0
30,1306.9090711560377
31,771.9279470049087
32,321.6350426092172
33,848.3625005181459
34,224.77970249515556
35,6333.569764141611
36,772.3167118312967
37,1896.5897961405178
38,1664.0233202107459
39,2681.4768307461327
40,1930.5030406024691
41,1234.246722607521
42,934.529538069176
43,121.63140604179853
44,3081.7267866063003
45,2673.977421717438
46,2885.470009824101
47,1109.5218815589726
48,6960.269494392492
49,317.63185078240645
50,1104.0200421339703
51,1828.2495663607306
52,1561.8511662932112
53,1962.6181311237983
54,2757.0753477057588
55,1811.205953016406
56,0.0
57,10748.517968983351
58,2706.358303710399
59,1135.1305805940142
60,1180.3403981978715
61,2800.220470834919
62,3072.995776841764
63,0.0
64,0.0
65,2933.64734523442
66,2641.096345884104
67,0.0
68,1050.9169843367574
69,2908.224324137882
70,1146.596904140003
71,2597.8106900855505
72,4297.5944684363685
73,1324.335185711678
74,1220.904380217894
75,2428.752572449334
76,2964.108223865076
77,1120.810118383343
78,686.4584651739124
79,2848.278314567587
80,2129.342015959634
81,1221.4761032963208
82,4223.308885151203
83,5961.477294348896
84,2981.6614268988747
85,3222.438902220293
86,1153.015311008981
87,516.8982466979079
88,1170.201175377506
89,1165.849071306648
90,1347.1277654816918
91,3028.773203752316
92,1586.052618849451
93,2737.1542298815125
94,0.0
95,772.0412300381781
96,0.0
97,1544.4520125008412
98,1593.8075337420328
99,0.0
100,9197.409618812093
101,843.204838578371
102,719.068461283816
103,958.0150224369363
104,0.0
105,1119.964521315806
106,0.0
107,1201.9786972092493
108,704.1544663993266
109,7881.35778179062
110,1774.2298337959046
111,2736.9533541085084
112,0.0
113,0.0
114,857.6935856762566
115,884.2827829819925
116,1325.690066915781
117,668.8089253603727
118,2903.0261718439538
119,1466.593014476337
120,1636.7771954093143
121,1532.8343109920077
122,782.1056026649277
123,3762.547128123179
124,1208.4786417687767
125,3927.2537169748175
126,1236.134676613596
127,453.2594521087274
128,6310.73578238546
129,2188.0284811788497
130,1043.5144100363605
131,740.1616843729171
132,0.0
133,503.89249604661995
134,0.0
135,0.0
136,3229.286193497565
137,3068.0587529032773
138,2955.8369788706063
139,1053.7064839689879
140,2963.2677110014415
141,1775.2443580122517
142,633.4417464740102
143,863.1341562842241
144,2938.25925230158
145,0.0
146,932.8652477798744
147,887.9271071065972
148,1654.3192707894414
149,0.0
150,4697.5051020724295
151,302.8629523123143
152,1026.7432312167202
153,2857.9623958675998
154,1121.6189153267794
155,999.1040076034928
156,1204.7588953527352
157,966.7319627989563
158,2903.161851986756
159,985.6729878080397
160,0.0
161,1036.7678597933675
162,0.0
163,1378.6361686176192
164,618.3492309478734
165,0.0
166,1201.9759228189514
167,0.0
168,6907.395809959676
169,0.0
170,969.3518725691094
171,825.2345995992594
172,1278.8431848064295
173,1182.3360069997752
174,169.2160205638529
175,0.0
176,0.0
177,3071.4830783650436
178,11119.000812728918
179,2753.7159657454617
180,2927.6699475246332
181,1963.7662511706965
182,316.4596798957159
183,2817.714185323321
184,3411.86664611775
185,3091.7524683925203
186,3051.9842707317875
187,5388.561488043634
188,3046.014453852059
189,2963.08506996502
190,5609.979398612011
191,0.0
192,0.0
193,1189.9879331842315
194,936.7526577107353
195,914.3018948762683
196,2981.5901403571825
197,2427.9282695922625
198,3446.726560003035
199,1119.5012457854937
200,2970.827750221666
201,918.3856672704933
202,857.4629084197863
203,0.0
204,502.5783051197386
205,1201.9786972092493
206,1693.6312539017374
207,1076.4563099075274
208,1879.83602476566
209,0.0
210,2732.208260839429
211,0.0
212,2977.3542304169173
213,0.0
214,0.0
215,963.2792760012087
216,2839.315792965495
217,2543.5132823379918
218,0.0
219,6005.798523149956
220,1778.3310091945445
221,11518.47849035987
222,3083.8612817782214
223,1011.3749913863898
224,652.6614368139938
225,3255.7401763808975
226,0.0
227,977.4056848404831
228,17.70108412518698
229,107.66288631132488
230,0.0
231,1832.565866213355
232,2127.347063729021
233,909.4534293660988
234,2172.348593304953
235,0.0
236,1098.5045689261487
237,35821.12594379088
238,874.1673809786653
239,1042.402702844246
240,0.0
241,359.0535449842316
242,1899.8184449768864
243,221.13800564129315
244,1104.1980225553507
245,4079.4552927434506
246,1186.138104176665
247,1098.2807112120445
248,1044.5166442916006
249,1699.1288877702154
250,149.98872826306638
251,468.5528913976965
252,0.0
253,1751.223741935283
254,1228.2414622728572
255,859.8044571560137
256,0.0
257,1214.3730482896842
258,1144.7761332560806
259,2998.6739946024577
260,3113.964704110161
261,0.0
262,9080.425597877216
263,0.0
264,3059.48384856766
265,861.0985004519351
266,2019.3798965770125
267,721.2686194122648
268,1421.0504540989257
269,0.0
270,945.8653681940173
271,255.66918119114234
272,1595.1371053871287
273,2615.0234219628983
274,1435.1043501534357
275,3040.7177484724925
276,427.5412470712963
277,1174.7435823379365
278,0.0
279,2298.6442836977503
280,1545.1044314407848
281,0.0
282,2027.0380251106594
283,0.0
284,0.0
285,0.0
286,1630.497506456472
287,0.0
288,0.0
289,4601.509707639543
290,906.7029337324086
291,1170.536580992915
292,0.0
293,2586.423781212122
294,0.0
295,0.0
296,0.0
297,1142.44598980321
298,1214.9792799258787
299,3144.761126352084
300,0.0
